ticks,road-section,number-of-cars,mean-speed
3,5,2,0.2475
4,1,5,0.4554
4,44,3,0.297
4,9,3,0.429
4,8,6,0.33
4,47,5,0.4356000000000001
4,50,2,0.495
4,17,6,0.3960000000000001
4,60,5,0.3762
4,29,4,0.4455
4,41,6,0.462
4,2,4,0.4455
4,69,2,0.495
4,18,5,0.4554
4,76,2,0.2475
4,13,4,0.47024999999999995
4,78,7,0.38185714285714295
4,11,5,0.25739999999999996
4,40,3,0.429
4,26,4,0.495
4,58,7,0.36771428571428577
4,21,4,0.495
4,56,4,0.37124999999999997
4,57,2,0.495
4,82,1,0
4,30,1,0.495
4,43,3,0.33
4,4,3,0.49499999999999994
4,54,10,0.37620000000000003
4,14,1,0.495
4,87,1,0.495
4,59,4,0.495
4,79,1,0.495
4,23,5,0.1782
4,19,3,0.49499999999999994
4,0,3,0.3960000000000001
4,32,5,0.4554
4,34,3,0.49499999999999994
4,45,8,0.2846250000000001
4,22,4,0.495
4,75,4,0.396
4,86,2,0.2475
4,49,6,0.3795
4,12,4,0.32175
4,55,1,0.495
4,16,3,0.49499999999999994
4,39,5,0.3762
4,6,2,0.495
4,51,2,0.396
4,20,4,0.34650000000000003
4,3,3,0.429
4,67,1,0.495
4,73,4,0.22275
4,35,6,0.3795
4,27,3,0.165
4,64,1,0.495
4,5,2,0.34650000000000003
5,1,5,0.5544
5,44,3,0.3960000000000001
5,9,3,0.528
5,8,6,0.39599999999999996
5,47,5,0.5346
5,50,2,0.594
5,17,6,0.49499999999999994
5,60,5,0.47519999999999996
5,29,4,0.5445
5,41,5,0.5544
5,2,3,0.528
5,69,2,0.594
5,18,4,0.5445
5,76,2,0.297
5,13,4,0.5692499999999999
5,78,7,0.42428571428571427
5,11,5,0.3168
5,40,3,0.528
5,26,3,0.594
5,58,7,0.4667142857142857
5,21,4,0.594
5,56,4,0.4455
5,57,2,0.594
5,82,1,0.099
5,30,1,0.594
5,43,3,0.39599999999999996
5,4,3,0.594
5,54,10,0.46529999999999994
5,14,1,0.594
5,87,1,0.594
5,59,4,0.594
5,79,1,0.594
5,23,5,0.25739999999999996
5,19,3,0.594
5,0,6,0.5775
5,32,5,0.5544
5,34,3,0.594
5,45,8,0.383625
5,22,4,0.594
5,75,4,0.495
5,86,1,0.594
5,49,6,0.4784999999999999
5,12,4,0.297
5,55,1,0.594
5,16,3,0.594
5,39,5,0.47519999999999996
5,6,2,0.594
5,51,2,0.495
5,20,4,0.42074999999999996
5,3,3,0.528
5,67,2,0.5445
5,73,4,0.32175
5,35,6,0.46199999999999997
5,27,3,0.19799999999999998
5,64,2,0.5445
5,5,2,0.198
6,1,6,0.6435
6,44,3,0.49499999999999994
6,9,3,0.6269999999999999
6,8,6,0.3465
6,47,5,0.6335999999999999
6,50,2,0.693
6,17,6,0.594
6,60,5,0.5742
6,29,4,0.6435
6,41,5,0.6534
6,2,3,0.6269999999999999
6,69,1,0.693
6,18,4,0.6435
6,76,2,0.3465
6,13,3,0.66
6,78,6,0.5115
6,11,5,0.3762
6,40,3,0.6269999999999999
6,26,3,0.693
6,58,7,0.5657142857142857
6,21,3,0.693
6,56,4,0.3465
6,57,1,0.693
6,82,1,0.198
6,30,1,0.693
6,43,3,0.23099999999999998
6,4,3,0.693
6,54,9,0.484
6,14,2,0.3465
6,59,4,0.5197499999999999
6,79,1,0
6,23,5,0.198
6,19,3,0.46199999999999997
6,0,7,0.6929999999999998
6,32,5,0.6534
6,34,3,0.693
6,45,9,0.41800000000000004
6,22,4,0.693
6,75,4,0.594
6,86,1,0.693
6,49,6,0.5775
6,12,4,0.3465
6,55,1,0
6,16,3,0.693
6,39,6,0.594
6,6,3,0.693
6,51,2,0.594
6,20,4,0.495
6,3,3,0.6269999999999999
6,67,2,0.6435
6,73,4,0.42074999999999996
6,35,6,0.429
6,27,4,0.3465
6,64,2,0.6435
6,5,2,0.29700000000000004
7,1,6,0.7424999999999998
7,44,3,0.594
7,9,3,0.726
7,8,6,0.39599999999999996
7,47,5,0.49499999999999994
7,50,2,0.7919999999999999
7,17,6,0.693
7,60,5,0.5147999999999999
7,29,4,0.6435
7,41,5,0.7524
7,2,3,0.726
7,69,1,0.7919999999999999
7,18,4,0.7424999999999999
7,76,3,0.5279999999999999
7,13,3,0.7589999999999999
7,78,6,0.6104999999999999
7,11,5,0.2772
7,40,3,0.726
7,26,3,0.7919999999999999
7,58,6,0.693
7,21,3,0.7919999999999999
7,56,4,0.39599999999999996
7,57,1,0.7919999999999999
7,82,2,0.14850000000000002
7,30,1,0.7919999999999999
7,43,3,0.26399999999999996
7,4,3,0.7919999999999999
7,54,9,0.528
7,14,2,0.44549999999999995
7,59,5,0.47519999999999996
7,79,1,0
7,23,5,0.2772
7,19,4,0.594
7,0,4,0.7177499999999999
7,32,5,0.7524
7,34,3,0.7919999999999999
7,45,9,0.43999999999999995
7,22,4,0.7919999999999999
7,75,4,0.693
7,86,1,0.7919999999999999
7,49,6,0.6765
7,12,4,0.39599999999999996
7,55,1,0
7,16,3,0.5279999999999999
7,39,6,0.693
7,6,3,0.7919999999999999
7,51,2,0.297
7,20,4,0.5692499999999999
7,3,4,0.7424999999999999
7,67,1,0.693
7,73,4,0.5197499999999999
7,35,6,0.363
7,27,4,0.39599999999999996
7,64,2,0.7424999999999999
7,5,2,0.4455
8,1,6,0.8414999999999999
8,44,3,0.693
8,9,3,0.8249999999999998
8,8,6,0.44549999999999995
8,47,5,0.5742
8,50,1,0.8909999999999999
8,97,1,0.8909999999999999
8,17,6,0.7919999999999999
8,60,5,0.594
8,29,4,0.7424999999999999
8,41,6,0.858
8,2,3,0.594
8,69,1,0.8909999999999999
8,18,4,0.8414999999999999
8,76,3,0.594
8,13,3,0.594
8,78,6,0.7094999999999999
8,11,5,0.31679999999999997
8,40,3,0.8249999999999998
8,26,3,0.8909999999999999
8,58,6,0.7919999999999999
8,21,3,0.8909999999999999
8,56,4,0.44549999999999995
8,57,1,0.8909999999999999
8,82,2,0.34650000000000003
8,30,1,0.8909999999999999
8,43,3,0.297
8,4,3,0.8909999999999999
8,54,9,0.6160000000000001
8,14,2,0.5445
8,59,5,0.5346
8,79,1,0
8,23,5,0.198
8,19,4,0.6682499999999999
8,0,6,0.7589999999999999
8,32,5,0.8513999999999999
8,34,3,0.8909999999999999
8,45,8,0.42075
8,22,3,0.8909999999999999
8,75,4,0.7919999999999999
8,86,1,0.8909999999999999
8,49,6,0.8579999999999998
8,12,4,0.44549999999999995
8,55,1,0
8,16,3,0.594
8,39,6,0.7919999999999998
8,6,3,0.8909999999999999
8,51,2,0.3465
8,20,4,0.6435
8,3,4,0.81675
8,67,1,0.7919999999999999
8,73,3,0.528
8,35,6,0.4124999999999999
8,27,4,0.44549999999999995
8,64,2,0.8414999999999999
8,5,2,0.5445
9,1,6,0.9405
9,44,3,0.7919999999999999
9,9,4,0.8662499999999999
9,8,6,0.32999999999999996
9,47,5,0.47519999999999996
9,50,1,0.9899999999999999
9,97,1,0.9899999999999999
9,17,6,0.891
9,60,5,0.47519999999999996
9,29,4,0.8414999999999999
9,41,6,0.957
9,2,3,0.693
9,69,1,0.9899999999999999
9,18,4,0.9404999999999999
9,76,3,0.6599999999999999
9,13,3,0.6599999999999999
9,78,6,0.6764999999999999
9,11,5,0.19799999999999998
9,40,3,0.594
9,26,2,0.9899999999999999
9,58,6,0.891
9,21,3,0.9899999999999999
9,56,4,0.49499999999999994
9,57,1,0.9899999999999999
9,82,2,0.4455
9,30,1,0.9899999999999999
9,43,3,0.32999999999999996
9,4,3,0.9899999999999999
9,54,9,0.528
9,14,1,0.29700000000000004
9,59,5,0.594
9,79,1,0
9,23,6,0.3795
9,19,4,0.7424999999999999
9,0,5,0.8909999999999998
9,32,5,0.7524
9,34,3,0.9899999999999999
9,45,8,0.49499999999999994
9,22,3,0.9899999999999999
9,75,4,0.6435
9,86,2,0.9899999999999999
9,49,6,0.957
9,12,4,0.49499999999999994
9,55,1,0
9,16,3,0.6599999999999999
9,39,6,0.6269999999999999
9,6,2,0.9899999999999999
9,51,2,0
9,20,4,0.693
9,3,4,0.9157499999999998
9,67,1,0.8909999999999999
9,73,3,0.6269999999999999
9,35,7,0.5374285714285714
9,27,4,0.49499999999999994
9,64,2,0.9404999999999999
9,5,2,0.6435
10,1,6,0.9135
10,44,3,0.828
10,9,3,0.8609999999999999
10,8,6,0.3
10,47,5,0.17819999999999997
10,50,2,0.747
10,97,1,0.9
10,17,5,0.8568
10,60,5,0.3186
10,29,4,0.74475
10,41,6,0.8985
10,2,3,0.666
10,69,1,0.9
10,18,3,0.8969999999999999
10,76,3,0.3
10,13,3,0.633
10,78,6,0.6645
10,11,5,0
10,40,3,0.3
10,26,2,0.9
10,58,6,0.7484999999999999
10,21,3,0.93
10,56,4,0.45
10,57,1,0.9
10,82,3,0.363
10,30,1,0.9
10,43,3,0.3
10,15,1,0.9
10,4,2,0.9
10,54,10,0.6264
10,14,1,0.396
10,59,5,0.54
10,79,1,0
10,23,6,0.2985
10,19,5,0.54
10,0,3,0.9
10,32,5,0.5382
10,34,3,0.9
10,45,8,0.54675
10,22,3,0.6
10,75,4,0.44775
10,86,2,0.9
10,49,6,0.7484999999999999
10,12,4,0.225
10,55,1,0
10,16,3,0.3
10,39,6,0.49649999999999994
10,6,2,0.9
10,51,2,0
10,20,4,0.67275
10,3,4,0.9202499999999999
10,67,1,0.9899999999999999
10,73,3,0.726
10,35,7,0.3844285714285714
10,27,5,0.36
10,64,2,0.945
10,5,2,0.7424999999999999
11,1,7,0.9835714285714284
11,44,3,0.594
11,9,3,0.96
11,8,6,0.333
11,47,5,0
11,50,2,0.846
11,97,1,0.999
11,17,6,0.9630000000000001
11,60,6,0.2985
11,29,4,0.8437499999999999
11,41,6,0.9975
11,2,2,0.999
11,69,1,0.999
11,18,3,0.996
11,76,3,0.333
11,13,3,0.7320000000000001
11,78,6,0.6315000000000001
11,11,5,0
11,40,3,0
11,26,2,0.999
11,58,6,0.681
11,21,3,0.633
11,56,4,0.4995
11,82,3,0.429
11,43,3,0.333
11,15,1,0.999
11,4,2,0.999
11,54,9,0.6619999999999999
11,14,1,0.495
11,59,5,0.3996
11,79,1,0
11,23,6,0.249
11,19,5,0.5993999999999999
11,0,4,0.621
11,32,5,0.3996
11,34,3,0.999
11,45,8,0.64575
11,22,3,0.699
11,75,4,0.49724999999999997
11,86,1,0.999
11,49,6,0.6645
11,12,4,0.24975
11,55,1,0
11,89,1,0.999
11,16,3,0.333
11,39,6,0.39749999999999996
11,6,2,0.999
11,51,2,0
11,20,4,0.747
11,3,4,0.972
11,67,1,0.9
11,73,2,0.7424999999999999
11,35,7,0.2854285714285714
11,27,5,0.3996
11,64,2,0.9495
11,5,3,0.894
12,1,6,0.9165
12,44,3,0.597
12,9,3,0.93
12,8,6,0.15
12,47,5,0
12,50,2,0.846
12,97,1,0.9
12,17,6,0.7484999999999999
12,60,6,0.315
12,29,4,0.846
12,41,6,0.9
12,2,2,0.9
12,69,1,0.9
12,18,3,0.9
12,76,3,0.3
12,13,3,0.432
12,78,6,0.615
12,11,5,0
12,40,3,0
12,26,2,0.9
12,58,6,0.6495000000000001
12,21,3,0.633
12,56,4,0.45
12,82,3,0.5279999999999999
12,43,3,0.3
12,15,1,0.9
12,4,2,0.9
12,54,9,0.575
12,14,1,0.594
12,59,6,0.45
12,79,1,0
12,23,6,0.249
12,19,5,0.54
12,0,6,0.5984999999999999
12,32,5,0.18
12,34,2,0.9
12,45,7,0.5104285714285715
12,22,2,0.9
12,75,5,0.54
12,86,1,0.9
12,49,6,0.46649999999999997
12,12,4,0.225
12,55,1,0
12,89,1,0.9
12,16,3,0
12,39,6,0.414
12,6,2,0.9
12,51,2,0
12,20,4,0.675
12,3,4,0.69975
12,73,3,0.5609999999999999
12,35,7,0.1285714285714286
12,27,5,0.36
12,64,2,0.9495
12,5,3,0.894
13,1,6,0.9824999999999999
13,44,3,0.32999999999999996
13,9,2,0.9495
13,8,6,0
13,47,5,0
13,50,2,0.945
13,97,1,0.999
13,17,6,0.8475
13,60,6,0.1995
13,29,5,0.9558
13,41,5,0.999
13,2,2,0.999
13,69,1,0.999
13,18,3,0.999
13,76,3,0.333
13,13,2,0.099
13,78,6,0.5820000000000001
13,11,5,0
13,40,3,0
13,26,1,0.999
13,58,5,0.819
13,21,3,0.666
13,56,4,0.4995
13,82,3,0.6269999999999999
13,43,3,0.333
13,15,1,0.999
13,4,3,0.999
13,54,9,0.563
13,14,1,0.693
13,59,6,0.4995
13,79,1,0
13,23,7,0.2854285714285714
13,19,5,0.5993999999999999
13,0,9,0.619
13,32,5,0.1998
13,34,2,0.999
13,45,7,0.6235714285714286
13,22,2,0.999
13,75,5,0.5993999999999999
13,86,1,0.999
13,49,5,0.3996
13,12,4,0.24975
13,55,1,0
13,89,1,0.999
13,16,3,0
13,39,7,0.46799999999999997
13,6,2,0.999
13,51,2,0
13,20,4,0.4995
13,3,4,0.7245
13,73,2,0.49499999999999994
13,35,7,0.1427142857142857
13,27,5,0.3996
13,64,2,0.9495
13,5,3,0.93
14,1,7,0.7855714285714287
14,44,3,0.3
14,9,2,0.9495
14,8,6,0
14,47,6,0.15
14,50,2,0.945
14,97,1,0.9
14,17,5,0.9
14,60,6,0.04950000000000001
14,29,5,0.8981999999999999
14,41,5,0.9
14,2,2,0.9
14,69,1,0.9
14,18,4,0.9
14,76,3,0.3
14,13,2,0.2475
14,78,5,0.6192
14,11,5,0
14,40,3,0
14,26,1,0.9
14,58,5,0.7596
14,21,2,0.9495
14,56,4,0.225
14,82,3,0.726
14,43,3,0.3
14,15,1,0.9
14,4,3,0.9
14,54,9,0.53
14,14,1,0.7919999999999999
14,59,6,0.45
14,79,1,0
14,23,7,0.2571428571428572
14,19,5,0.54
